english,khasi
The student refused to obey his teacher.,Ka khynnah ka saitlah ban ngeit ia u nonghikai.
He was drunk and forgot to shut the back door.,U lah buaid bad u klet ban khang ka jingkhang shadien.
Read this first.,Pule shuwa iakane.
Perfect!,Biang!
I don't remember if Tom lent me the book or if I borrowed it from the library.,Ngam kynmaw ba dei u Tom uba aikylliang ha nga ia ka kot ne dei ba nga shimkylliang na library.
What is the name of this river?,Kaei ka kyrteng jong kane ka wah?
I feel like going to Boston again.,Kwah leit biang sha Boston.
Can I make a phone call?,Long ngan call?
Tom is the only one who really knows what to do.,Dei tang u Tom uba tip aiu ban leh.
Thanks for everything.,Khublei na ka bynta baroh.
Have you already bought your ticket?,Phi lah thied lypa ka ticket jong phi?
It's not weird.,Kam kynsha re.
Eat everything.,Bam lut.
I'm not sure who has my suitcases.,Ngam thikna mano ba bat ka suitcase jong nga.
Things aren't going as well as I expected.,Ki kam ki jam kim da iaid bha re kumba nga mut.
How long do we have to wait here?,Haduh katno ngi hap ban ap hangne?
Hurry!,Kloi wut!
We must leave immediately.,Ngi dei ban mih noh mynta mynta.
A pair of earrings is a nice present for her.,Shijur ki sohshkor ki long ki jingai ba itynnad iaka.
I've spent most of my life here.,Nga lah pynlut bun ka jingim jongnga hangne.
I don't know what I want to do.,Ngam tip kaei kaba nga kwah ban leh.
I'm a Christian.,Nga dei ka kristan.
How did you get permission to do that?,Kumno phi ioh jingbit ban leh ia kata?
Look behind you.,Peit shadien jong pha.
You seem to be waiting for someone.,Pha i kumba pha ap iano iano.
I doubt that I could swim across this river.,Nga artatien ba ngan lah ban jngi sha shiliang kane ka wah.
The sky brightened.,Ka bneng ka shai.
Tom went missing last Monday.,U Tom u jah ha kane ka snginyngkong ba la leit.
Stand aside.,Wat wit.
We're still open.,Ngi dang ïa plie.
There's one more.,Don sa kawei.
Tom is the strongest.,U Tom u dei u ba khlaiñ tam.
My battery is about to die.,U battery jongnga u lah jan lut.
Who was taking care of Tom when this happened?,Mano ba sumar i'u Tom mynba kane ka jia.
They want Tom back.,Ki kwah biang ia u Tom.
I know how busy you are.,Nga tip katno me bunkam.
Turn left.,Phai sha kadiang.
What're you saying?,Phi kren aiu?
"Goodnight, Mother.","Mei, thiahsuk."
I won't be staying in Australia very long.,Ngam sah slem re ha Australia.
Tom said he was hoping he and Mary could eat together.,U Tom u ong ba u kyrmen ba ma u bad ka Mary kin ia bam lang.
Watch yourself.,Peit ialade.
Tom wants you.,U Tom u kwah iaphi.
There won't be a next time.,Yn ym don da kawei ka por.
I know that Tom would do that if he could.,Nga tip ba u Tom un leh ia kata lada u lah.
I just laughed because everyone else did.,Nga shu rkhie namar baroh ki ia rkhie.
It's really annoying.,Ka pynshrai bha.
Do you know how to use chopsticks?,Phi nang kumno ban pyndonkam ia ki chopsticks?
What are those?,Kiei kito?
You don't know Tom.,Phim ithuh ïa u Tom.
Why do you need a comb if you're bald?,Phi donkam leh aiu ïa ka snat haba phi syllen?
I used to go to Boston about three times a year.,Nga shait don ha Boston kumba lai sien shi snem.
This chair is ugly.,Kane ka shuki ka isih.
Tom and Mary are outside.,Tom bad Mary ki don shabar.
How many tickets do you need?,Katno tylli ticket phi donkam?
You should not do that kind of thing by yourself.,Mem dei ban leh kum kato da lade.
That's not how we do things here.,Ngim ju leh kumto shane.
Let go of the rope.,Pyllait ia u tyllai.
Tom didn't tell anyone he wanted to do that.,U Tom u khlem iathuh iano iano ba u kwah ban leh ia kato.
It's not weird.,Kam khyllah re.
Don't you want to sit with me?,Pham kwah shong bad nga?
Is it true you bit Tom?,Dei shisha pha dait ia u Tom?
I don't find this funny.,Ym samrkhie eiei.
Did Tom tell you where he was last night?,U iathuh u Tom ïaphi shaei u don mynnin ka miet?
Pass me the pen.,Ai sha nga u khulom.
What is the name of this river?,Kyrteng aiu kane ka wah?
Tom nodded.,U Tom u kohnguh.
I'm sure you're very busy.,Nga thikna me bunkam bha.
How do you know Tom is there?,Kumno phi tip u Tom u don hangto?
How long did it take Tom to read this book?,Katno ka shim por ia u Tom ba un pule ia kane ka kot?
Each of them has his own car.,Uwei-pa-uwei naki u don kali.
Tom wants answers.,U Tom u kwah jubab.
Goodbye!,Mo!
This is good.,Ka best kane.
Tom went without food for a whole week.,U Tom u leit khlem jingbam baroh shi taiew.
Most Japanese temples are made of wood.,Bun naki iingmane Japan la shna da ki dieng.
Look back!,Peit shadien!
We really like each other a lot.,Ngi ia sngewtynnad shibun iwei ia iwei.
I think Tom would be able to do that if he really wanted to.,Nga tharai ba u Tom un lah ban leh ia kata lada u kwah shisha ban leh.
The moon is shining.,U bnai u shai.
I'm not going to go back.,Ngan nym leit phai biang.
I work.,Nga trei.
Tom fell off his mother's lap.,U Tom u hap na lybong kmie jong u.
You should let Tom win.,Me hap ban ai lad ia u Tom ba un Jop.
"Can I see your ticket, please?",Sngewbha pyni ticket.
Tom was the first one to get here today.,U Tom u long uba nyngkong ban poi shane mynta ka sngi.
They cleared the pavement of snow.,Ki la pynkhuid ia u ior na ka lynti-iaid.
What did you like the most about your previous job?,Kaei kaba pha sngewtynnad tam shaphang ka kam ba hashwa jong pha?
I did that the way Tom suggested.,Nga leh kumba u phah u Tom.
You have no idea what you're talking about.,Phim tip ia kaei kaba phi kren.
You decide.,Ong phi.
You're the biggest.,Phi dei uba heh tam.
He asked me a question.,U kylli jingkylli ianga.
Nowadays no one believes in ghosts.,Mynta ki por ym don ba ngeit rngai.
I was just making sure.,Nga shu pynthikna.
You haven't even tried.,Phim pat pyrshang hi.
Don't ask me to help.,Nai kylli ianga ban iarap.
Keep trying.,�ai pyrshang.
He must have been ill.,U lah ban ioh pang.
You should not do that kind of thing by yourself.,Phim dei ban leh kum kato da lade.
It's all you can really do.,Ka dei baroh ba phi lah ban leh shisha.
I know that Tom doesn't know anyone who does that.,Nga tip ba u Tom um ithuh iano-iano ba leh ia kato.
What problems did they run into?,Ki lap jingeh aiu?
Why aren't they here?,Balei kim don hangne?
Sometimes my dog barks in the middle of the night.,Don ki por u ksew nga u wiar shiteng miet.
"Louder, please.","Kham jam, seh."
Do you think I'm making a mistake?,Me mut ba nga leh bakla?
Where would you like to go?,Shaei phi kwah ban leit?
Why do you need a comb if you're bald?,Balei phi donkam ïa ka snat haba phi lyndum?
Tom is the strongest.,U Tom u dei uba khlaiñ tam.
Really?,Shisha!
"One day, she told me that she wanted a pet cat.","Shisien ka sngi, ka iathuh ianga ba ka kwah miaw."
Ask Tom.,Kylli ia u Tom.
Tom lives here now.,U Tom u sah hangne mynta.
"Louder, please.","Kham eh, seh."
They quarreled.,Ki ia mai.
"Beef, please.",Ai dohmasi.
I'll see you at home.,Ngan sa iakynduh iaphi ha ïng.
Please sit.,Sngewbha shong.
That book is a new book.,Kane ka kitab kadei ka kitab thymmai.
I don't want anyone to see me with Tom.,Ngam kwah ban shah iohi ianga bad u Tom.
I'm sure you're very busy.,Nga thikna pha bunkam bha.
I want to go back to my friends.,Nga kwah ban leit biang sha la ki paralok.
I have dandruff.,Nga don thyllieh.
How did you know what Tom needed to do?,Kumno pha tip u Tom u hap ban leh ia kaei?
I could never fool you.,Ngam lah thok ïaphi.
Tom passed out again.,U Tom u la thlep sa shishien.
They live downstairs.,Ki sah shapoh.
Did you pack this bag yourself?,Phi song hi kane ka pla?
Give Tom everything he asks for.,Ai katba pan u Tom.
"If you go fishing tomorrow, I'll go, too.","Lada phi leit khwai lashai, nga ruh, ngan leit."
How old are you?,Phi lah don katno snem?
The toilet is upstairs.,Ka painkhana ka don shajrong.
Tom acknowledges that he was defeated.,U Tom u pdiang ba u lah shah pynrem.
Tom is yellow.,U Tom u long uba tiengpyut.
Did you buy me anything?,Phi thied eiei ianga?
Tom told Mary that he didn't love her.,U Tom u iathuh ia ka Mary ba um ieid ia ka.
Don't you want to sit with me?,Mem kwah shong bad nga?
Hurry!,Wut!
Can you hear me?,Iohsngew ianga?
I don't believe they would do that.,Ngam ngeit ba kin leh ia kata.
They quarreled.,Ki ia tim.
How cute!,Ka jingiskuin.
Pick the one you like best.,Jied ia iba phi sngewtynnad tam.
Don't pay any attention to what your father says.,Wat sngap ia kaei kaba i pa jong phi i ong.
Tom said that he wanted to sit next to me.,U Tom u ong u kwah shong syndah ianga.
A telephone is more useful than a necklace.,Ka telephone ka kham myntoi ban ia u kpieng.
Tom has lots of friends.,U Tom u don bun ki paralok.
Lie still.,Thiah khop.
What did you like the most about your previous job?,Kaei kaba me sngewtynnad tam shaphang ka kam ba hashwa jong me?
Smoke appeared.,Ka mih ka tdem.
"She's attractive, but she talks too much.","Ka bhabriew, tangba ka bun nia palat."
Did you happen to see her yesterday?,Phi poi iohi iaka mynnin?
You decide.,Rai phi.
That was really sweet.,Ka sngewieid bha.
There were many of us who opposed that.,Ki don bun na ngi kiba pyrshah ia kato.
You called?,Phi khot?
Sweet dreams!,Thiahsuk!
Tom died a miserable death.,U Tom u ïap ka jingïap ba sngewjynjar.
I don't know.,Tip.
Tom shooed away the flies.,U Tom u beh ia ki skaiñ.
Are you crazy?,Pha lah bieij ne?
Is this biodegradable?,Une dei ba pyut?
Tom lost his camera in Boston.,U Tom u lah pynjah ia ka kamera jong u ha Boston.
I just say what Tom tells me to say.,Nga shu ong ia kaei kaba u Tom u ong hanga ban ong.
Tom hasn't seen Mary in months.,U Tom u khlem iohi ia ka Mary da ki bnai.
Suit yourself.,Katba me mon.
My grandmother suffers from osteoporosis.,I meiieid jong nga i pang osteoporosis.
Tom handed the photo album to Mary.,U Tom u ai ia ka albom dur ha ka Mary.
Please come.,Wan seh.
"Pardon me, but that's my racket.","Sngewbha, tangba kato kadei ka racket jongnga."
Tom never saw Mary.,U Tom um ju iohi ia ka Mary.
I'm going to Australia the month after next.,Ngan leit sha Australia ha u bnai ban sa wan.
Jump.,Kynthih.
Follow me.,Bud ianga.
Pass me the pen.,Ai ha nga u khulom.
This belongs to me.,Kane ka dei ka jongnga.
You didn't break it.,Phim shym pynpait iaka.
I forgot.,Nga klet.
Please come again soon.,Sa wan biang seh.
We need to get this weighed.,Ngi donkam thew ia kane.
I'm really worried about what might happen.,Nga khuslai shisha shaphang kaei kaba lah ban jia.
Where are you?,Shaei phi don?
Tom and John pretended to be brothers.,U Tom bad u John ki ia ak kumba dei shipara.
Tom already knows you aren't going to do that.,U Tom u lah tip lypa ba phin ym leh.
Give Tom everything he asks for.,Ai ia u Tom katba u pan.
It's hot.,Ka khluit.
I'm pretty sure that Tom can do it.,Nga thikna ba u Tom u lah ban leh.
That's not how we do things here.,Ngim ju leh kumta shane.
How did you make them laugh?,Kumno phi pynrkhie ïaki?
Tom didn't tell anybody he wanted to do that.,U Tom u khlem iathuh iano iano ba u kwah ban leh ia kato.
Where would you like to go?,Shano pha kwah ban leit?
Kiss me.,Doh ianga.
How did you know what Tom needed to do?,Kumno phi tip u Tom u hap ban leh ia kaei?
I know how busy you are.,Nga tip katno pha bunkam.
Who cares?,Mat dep.
"Tom read the Bible in its entirety, from the beginning to the end.","U Tom u pule lut ia ka Bibl, naduh ba sdang shaduh ba kut."
Freeze!,Wat khih!
That's something I'll never understand.,Kata kadei kaei kaei kaba ngan ym sngewthuh.
Tom won the election.,U Tom u jop iaka election.
He is eight.,U lah don phra snem.
Don't ask me to help.,Wat kylli ianga ban iarap.
"If you want peace, prepare for war.","Lada phi kwah Jinsuk, pynkhreh iaka thma."
Which is the newest one?,Kano kaba thymmai tam?
Are these your shoes?,Ki juti jongphi kine?
Look at the picture.,Peit ha ka dur.
Tom has no idea what he's doing.,U Tom um tip eiei aiu u leh.
I can't believe we're all still here.,Ngam lah ngeit ngi dang ia don hangne.
You can't escape from me.,Mem lah ban lait nanga.
I used to go to Boston about three times a year.,Nga shait don ha Boston kumba lai sien ha ka shi snem.
Tom didn't come home until 2:30.,U Tom u khlem wan ïng haduh 2:30.
Tom lay face down on the blanket.,U Tom u dem pyllup ha ka kumbor.
Why would they need to do that?,Balei ki donkam ban leh ia kata?
We don't know much about what happened.,Ngim da tip thikna shaphang kaei ba jia.
It's hot.,Ka shit.
Shut up!,Balaiñ!
You don't know Tom.,Phim tip ïa u Tom.
Are you sure that it's OK to drink this water?,Me thikna ka biang ban dih ia kane ka um?
I'll take the jacket.,Ngan shim ka jacket.
Tom is being forced to do that.,U Tom u la shah pynbor ban leh kumto.
Wash the dishes.,Sait ki tiar.
I want another cup of coffee.,Nga kwah biang sa shi pela ka coffee.
Tom asked me a lot of questions that I couldn't answer.,U Tom u kylli ianga bun ki jingkylli ba haduh ngam lah jubab.
Don't you want to know?,Pham kwah ban tip?
Didn't you know that Tom was Canadian?,Mem tip ba i Tom i dei nong-Canada?
What is your name?,Kaei ka kyrteng jongphi?
What were you doing at that time?,Phi leh aiu katto baje?
I don't know how to prove I wasn't in Boston.,Ngam nang kumno ba ngan sakhi ba ngam don ha Boston.
Where is the toilet?,Hangno ka painkhana?
They're always there.,Ki ïa don beit shatai.
Tom didn't keep Mary waiting too long.,U Tom u khlem pynap slem ia ka Mary.
The store will be closed tomorrow.,Ka dukan ka khang lashai.
"It's your money, isn't it?","Dei ka pisa jongphi, dei?"
Cows give us milk.,Ki masi ki ai dud iangi.
I bought the least expensive pair of shoes in the store.,Nga thied ia ki juti kiba tat dor tam na dukan.
Sit tight.,Shong beit.
You should not do that kind of thing by yourself.,Pham dei ban leh kum kato da lade.
What are those called?,Khot kumno ia kito?
"Next time, don't drop it.","Ha kawei pat ka por, wat pynhap iaka."
When was that?,Mynno kata?
"Dogs have masters, cats have servants.","Ki ksew ki don kynrad, ki miaw ki don shakri."
Wash your face.,Sait ka khmat.
Where else would I go?,Shaei de ngan leit?
No kidding?,Oh kumta?
Tom lowered his voice to a whisper.,I Tom i pynrit ia ka sur ban pasiaw.
Why doesn't he eat lunch with me anymore?,Balei um ju bamjasngi shuh bad nga?
Run!,Mareh!
Are you sure that it's OK to drink this water?,Phi thikna ka biang ban dih ia kane ka um?
I don't understand.,Ngam sngewthuh.
I saw Tom running down the street.,Nga iohi ia ia u Tom ba u mareh shathie.
Are you crazy?,Phi lah bieij ne?
How much is admission?,Katno bai rung?
It's too hot.,Ka khluit palat.
Tell me where the wine is.,Iathuh ianga haei ka waiñ ka don.
I can't put up with Tom's bad manners any longer.,Ngam lah shah shuh iaka jingkhkemakor u Tom.
